"Year";"Area";"StreetOk"
2011;"";"brassington avenue"
2011;"";"bromford lane"
2011;"";"bromford lane, erdington, b'ham"
2011;"";"brookvale park road"
2011;"";"carhampton road, falcon lodge, sutton colfield"
2011;"";"carshalton road"
2011;"";"carshorlton road"
2011;"";"chester rd"
2011;"";"chester road"
2011;"";"chester road, halls garden centre"
2011;"";"church rd at chester rd"
2011;"";"college road, kingstanding, b'ham"
2011;"";"copshill court, mount view, sutton coldfield"
2011;"";"dovedale road, erdington, b'ham"
2011;"";"downside road, erdington, b'ham"
2011;"";"eachelhurt road, erdington"
2011;"";"erdington hall road"
2011;"";"erdington high street"
2011;"";"fentham road, erdington, b'ham"
2011;"";"finchley road"
2011;"";"finchley road, kingstanding, b'ham"
2011;"";"george frederick road"
2011;"";"golden pond take away ‚â„õ‚ê boldmere road"
2011;"";"good hope hospital"
2011;"";"gracechurch centre"
2011;"";"gracechurch centre, outside supercigs"
2011;"";"gracechurch shopping centre, sutton coldfield"
2011;"";"grassed area , pype hayes park...."
2011;"";"gravelley lane"
2011;"";"gravelly lane, erdington, birmingham"
2011;"";"hairy lemon pub .sutton coldfield"
2011;"";"hermatige road"
2011;"";"hermitage drive"
2011;"";"high street"
2011;"";"high street erdington"
2011;"";"high street, erdington"
2011;"";"high street, s/c"
2011;"";"hight st erdington"
2011;"";"hunton hill"
2011;"";"kfc retail outlet , erdington high street"
2011;"";"kingsbury road, erdington, b'ham"
2011;"";"kingstanding circle"
2011;"";"ladywell walk, birmingham"
2011;"";"landsdown road"
2011;"";"lichfield road, mere green"
2011;"";"lichfield road, sutton coldfield"
2011;"";"lindridge road, sutton coldfield"
2011;"";"little aston lane"
2011;"";"longford road"
2011;"";"longford road, kingstanding, b'ham"
2011;"";"lower parade"
2011;"";"lower parade sc"
2011;"";"lower parade sutton"
2011;"";"lower parade sutton coldfield"
2011;"";"lower parade,"
2011;"";"lower parade, suton coldfield"
2011;"";"lower parade, sutton coldfield"
2011;"";"lower parade, sutton coldfield town centre"
2011;"";"lower parade, sutton coldfield."
2011;"";"lydham close"
2011;"";"mill street"
2011;"";"mill street, sutton coldfield"
2011;"";"moor hall hotel"
2011;"";"mulberry court carpark, kings road, kingstanding, birmingham"
2011;"";"newhall walk car park"
2011;"";"o/s h/a"
2011;"";"o/s litten tree"
2011;"";"o/s litten tree, s/c town centre"
2011;"";"o/s moomoo bar, s/c town centre"
2011;"";"o/s moomoo bar, south parade"
2011;"";"o/s retro"
2011;"";"o/s retro , south parade"
2011;"";"o/s retros"
2011;"";"o/s royal hotel, lichfield road"
2011;"";"o/s temple bar"
2011;"";"o/s temple bar, high street"
2011;"";"o/s temple bar, lower parade sutton coldfield."
2011;"";"o/s temple bar, s/c town centre"
2011;"";"o/s temple bar, sutton coldfield, west milands"
2011;"";"o/s the hairy lemon"
2011;"";"on pavement outside the royal hotel"
2011;"";"ourtside royal pub, lichfield road, sutton coldfield"
2011;"";"outside glendale tower, lyndhurst estate"
2011;"";"outside litten tree pub, birmingham road, sutton coldfield`"
2011;"";"outside moo moo club, town centre, sutton coldfield"
2011;"";"outside moo moo night club, south parade"
2011;"";"outside temple parade, lower parade"
2011;"";"outside the temple bar, lower parade, sc"
2011;"";"parade . sutton coldfield"
2011;"";"parade sc"
2011;"";"parade sutton coldfield"
2011;"";"parade sutton town"
2011;"";"parade, sutton coldfield"
2011;"";"parade, sutton town centre"
2011;"";"parkeston crescent, kinsgatnding, b'ham"
2011;"";"plants grove erdington"
2011;"";"pype hayes road, pype hayes, b'ham"
2011;"";"queen street"
2011;"";"queen street sutton coldfield town centre"
2011;"";"queslett road east"
2011;"";"redacre rd boldmere"
2011;"";"reservoir road"
2011;"";"ridgeway"
2011;"";"slade road, erdington, b'ham"
2011;"";"soth parade, sutton coldfield"
2011;"";"south parade"
2011;"";"south parade ‚â„õ‚ê town centre, sutton coldfield"
2011;"";"south parade sutton coldfield"
2011;"";"south parade sutton town centre"
2011;"";"south parade, sutton coldfield"
2011;"";"south parade, sutton town centre"
2011;"";"south parade, town centre, sutton coldfield"
2011;"";"stornaway road castle vale"
2011;"";"streetley road erdington"
2011;"";"sumburgh croft"
2011;"";"sutton coldfield town centre"
2011;"";"sutton new road"
2011;"";"sutton new road erdington"
2011;"";"sutton new road, erdington, b'ham"
2011;"";"sutton parade"
2011;"";"sutton town centre"
2011;"";"tedbury crescent"
2011;"";"tesco's express, walsall road, four oaks, sutton coldfield"
2011;"";"the parade"
2011;"";"the parade sutton"
2011;"";"the parade sutton coldfield"
2011;"";"the parade, birmingham road, sutton coldfield"
2011;"";"the parade, sutton coldfield"
2011;"";"the parade, sutton town centre"
2011;"";"the parade...."
2011;"";"the ridgeway"
2011;"";"the swan ph"
2011;"";"turnhouse road"
2011;"";"upper holland road"
2011;"";"victoria rd"
2011;"";"walsh drive, walmley, sutton coldfield"
2011;"";"warren farm rd"
2011;"";"warren farm road"
2011;"";"whitehouse common rd"
2011;"";"wilton rd"
2011;"";"windsor house, jarvis road, erdington"
2011;"";"witton lodge road"
2011;"";"witton lodge road, erdington"
2011;"";"york road"
2011;"";"abdon ave"
2011;"";"alcester road south"
2011;"";"alvechurch rd"
2011;"";"arden road"
2011;"";"ardencote froad"
2011;"";"ashley close"
2011;"";"balti spice bristol rd south"
2011;"";"barnes hill"
2011;"";"barrow house"
2011;"";"birmingham new street"
2011;"";"birmingham street, oldbury"
2011;"";"blandford road"
2011;"";"bournbrook road"
2011;"";"bournville front office"
2011;"";"bournville lane"
2011;"";"bournville lane front office"
2011;"";"bowling green road"
2011;"";"bristol rd"
2011;"";"bristol rd selly oak"
2011;"";"bristol rd south"
2011;"";"bristol rd sth"
2011;"";"bristol rd, northfield"
2011;"";"bristol rd, selly oak"
2011;"";"bristol road northfield"
2011;"";"bristol road selly oak"
2011;"";"bristol road south, northfield"
2011;"";"bristol road south, selly oak"
2011;"";"bristol road, selly oak"
2011;"";"broad street, city centre"
2011;"";"brook lane"
2011;"";"bunburry road"
2011;"";"burnhill grove ,weoley castle ,birmingham."
2011;"";"car park of bournville lane p/stn"
2011;"";"chinbrook road, billsley"
2011;"";"church hill nortthfield"
2011;"";"church road"
2011;"";"compton road, cradley heath"
2011;"";"costcutters, ardern road"
2011;"";"dawberry road"
2011;"";"dawlish road"
2011;"";"dingle club"
2011;"";"doddington road"
